Station Name;Station ID
TUNIS;120
JEBEL JELLOUD;130
MEGRINE RIADH;141
MEGRINE;142
SIDI REZIG;143
LYCEE RADES;144
RADES;146Y
RADES MELIANE;146Z
EZZAHRA;151
LYCEE EZZAHRA;152
BOUKORNINE;153
HAMMAM LIF;154
ARRET DU STADE;155
TAHAR SFAR;158
HAMMAM CHATT;156
BIR EL BEY;159
BORJ CEDRIA;157
ERRIADH;999
